,Episodes,Avg_rewards,alpha,gamma,epsilon
155,1551,23.9,0.6,0.99,0.1
156,1561,25.3,0.6,0.99,0.1
157,1571,22.2,0.6,0.99,0.1
158,1581,18.3,0.6,0.99,0.1
159,1591,20.3,0.6,0.99,0.1
160,1601,32.7,0.6,0.99,0.1
161,1611,24.7,0.6,0.99,0.1
162,1621,28.4,0.6,0.99,0.1
163,1631,20.1,0.6,0.99,0.1
164,1641,30.9,0.6,0.99,0.1
165,1651,21.5,0.6,0.99,0.1
166,1661,30.7,0.6,0.99,0.1
167,1671,33.4,0.6,0.99,0.1
168,1681,17.7,0.6,0.99,0.1
169,1691,39.7,0.6,0.99,0.1
170,1701,34.9,0.6,0.99,0.1
171,1711,35.1,0.6,0.99,0.1
172,1721,22.5,0.6,0.99,0.1
173,1731,28.7,0.6,0.99,0.1
174,1741,32.1,0.6,0.99,0.1
175,1751,48.8,0.6,0.99,0.1
176,1761,29.6,0.6,0.99,0.1
177,1771,28.9,0.6,0.99,0.1
178,1781,46.9,0.6,0.99,0.1
179,1791,33.6,0.6,0.99,0.1
180,1801,31.8,0.6,0.99,0.1
181,1811,29.1,0.6,0.99,0.1
182,1821,21.7,0.6,0.99,0.1
183,1831,28.3,0.6,0.99,0.1
184,1841,30.0,0.6,0.99,0.1
185,1851,34.7,0.6,0.99,0.1
186,1861,38.1,0.6,0.99,0.1
187,1871,40.5,0.6,0.99,0.1
188,1881,25.5,0.6,0.99,0.1
189,1891,33.9,0.6,0.99,0.1
190,1901,32.2,0.6,0.99,0.1
191,1911,28.1,0.6,0.99,0.1
192,1921,30.8,0.6,0.99,0.1
193,1931,28.9,0.6,0.99,0.1
194,1941,19.1,0.6,0.99,0.1
195,1951,29.6,0.6,0.99,0.1
196,1961,42.6,0.6,0.99,0.1
197,1971,28.6,0.6,0.99,0.1
198,1981,23.9,0.6,0.99,0.1
199,1991,24.0,0.6,0.99,0.1
200,2001,23.5,0.6,0.99,0.1
201,2011,31.4,0.6,0.99,0.1
202,2021,24.1,0.6,0.99,0.1
203,2031,36.5,0.6,0.99,0.1
204,2041,29.0,0.6,0.99,0.1
205,2051,26.5,0.6,0.99,0.1
206,2061,28.2,0.6,0.99,0.1
207,2071,29.0,0.6,0.99,0.1
208,2081,37.1,0.6,0.99,0.1
209,2091,29.3,0.6,0.99,0.1
210,2101,27.8,0.6,0.99,0.1
211,2111,34.1,0.6,0.99,0.1
212,2121,24.5,0.6,0.99,0.1
213,2131,32.0,0.6,0.99,0.1
214,2141,20.6,0.6,0.99,0.1
215,2151,26.8,0.6,0.99,0.1
216,2161,28.7,0.6,0.99,0.1
217,2171,39.2,0.6,0.99,0.1
218,2181,28.2,0.6,0.99,0.1
219,2191,42.1,0.6,0.99,0.1
220,2201,22.0,0.6,0.99,0.1
221,2211,36.8,0.6,0.99,0.1
222,2221,29.0,0.6,0.99,0.1
223,2231,34.7,0.6,0.99,0.1
224,2241,31.8,0.6,0.99,0.1
225,2251,32.1,0.6,0.99,0.1
226,2261,41.7,0.6,0.99,0.1
227,2271,54.5,0.6,0.99,0.1
228,2281,28.8,0.6,0.99,0.1
229,2291,43.4,0.6,0.99,0.1
230,2301,24.7,0.6,0.99,0.1
231,2311,36.8,0.6,0.99,0.1
232,2321,32.5,0.6,0.99,0.1
