,Episodes,Avg_rewards,alpha,gamma,epsilon
155,1551,124.5,0.6,0.99,0.1
156,1561,41.0,0.6,0.99,0.1
157,1571,47.4,0.6,0.99,0.1
158,1581,77.7,0.6,0.99,0.1
159,1591,44.6,0.6,0.99,0.1
160,1601,53.6,0.6,0.99,0.1
161,1611,79.3,0.6,0.99,0.1
162,1621,82.9,0.6,0.99,0.1
163,1631,97.3,0.6,0.99,0.1
164,1641,60.3,0.6,0.99,0.1
165,1651,143.8,0.6,0.99,0.1
166,1661,67.8,0.6,0.99,0.1
167,1671,140.0,0.6,0.99,0.1
168,1681,98.2,0.6,0.99,0.1
169,1691,50.5,0.6,0.99,0.1
170,1701,62.4,0.6,0.99,0.1
171,1711,34.6,0.6,0.99,0.1
172,1721,64.9,0.6,0.99,0.1
173,1731,123.1,0.6,0.99,0.1
174,1741,67.8,0.6,0.99,0.1
175,1751,130.2,0.6,0.99,0.1
176,1761,64.8,0.6,0.99,0.1
177,1771,123.1,0.6,0.99,0.1
178,1781,89.4,0.6,0.99,0.1
179,1791,67.4,0.6,0.99,0.1
180,1801,72.2,0.6,0.99,0.1
181,1811,69.0,0.6,0.99,0.1
182,1821,94.9,0.6,0.99,0.1
183,1831,105.3,0.6,0.99,0.1
184,1841,132.4,0.6,0.99,0.1
185,1851,95.0,0.6,0.99,0.1
186,1861,132.1,0.6,0.99,0.1
187,1871,120.5,0.6,0.99,0.1
188,1881,90.0,0.6,0.99,0.1
189,1891,127.7,0.6,0.99,0.1
190,1901,162.4,0.6,0.99,0.1
191,1911,122.6,0.6,0.99,0.1
192,1921,89.7,0.6,0.99,0.1
193,1931,76.6,0.6,0.99,0.1
194,1941,89.5,0.6,0.99,0.1
195,1951,127.7,0.6,0.99,0.1
196,1961,89.8,0.6,0.99,0.1
197,1971,92.3,0.6,0.99,0.1
198,1981,129.4,0.6,0.99,0.1
199,1991,136.8,0.6,0.99,0.1
200,2001,89.7,0.6,0.99,0.1
201,2011,69.0,0.6,0.99,0.1
202,2021,76.5,0.6,0.99,0.1
203,2031,83.8,0.6,0.99,0.1
204,2041,78.0,0.6,0.99,0.1
205,2051,108.8,0.6,0.99,0.1
206,2061,88.1,0.6,0.99,0.1
207,2071,78.1,0.6,0.99,0.1
208,2081,95.2,0.6,0.99,0.1
209,2091,175.7,0.6,0.99,0.1
210,2101,133.1,0.6,0.99,0.1
211,2111,84.1,0.6,0.99,0.1
212,2121,120.8,0.6,0.99,0.1
213,2131,91.4,0.6,0.99,0.1
214,2141,104.4,0.6,0.99,0.1
215,2151,65.4,0.6,0.99,0.1
216,2161,71.7,0.6,0.99,0.1
217,2171,89.4,0.6,0.99,0.1
218,2181,129.4,0.6,0.99,0.1
219,2191,128.8,0.6,0.99,0.1
220,2201,181.9,0.6,0.99,0.1
221,2211,155.8,0.6,0.99,0.1
222,2221,191.7,0.6,0.99,0.1
223,2231,87.0,0.6,0.99,0.1
224,2241,166.1,0.6,0.99,0.1
